seed_id,source,source_role,index_presence,index_check_method,index_check_date,retrieved_by_qa,retrieved_by_qd,query_version,metadata_verified,notes
agentharm-2024,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2410.09024;seed_role=core-security
progent-2025,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2504.11703;seed_role=core-security
saga-2025,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2504.21034;seed_role=core-security
mcp-attack-vectors-2025,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2506.02040;seed_role=core-security
agentsight-2025,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2508.02736;seed_role=core-security
prov-agent-2025,arxiv,core-preprint,true,id_list,2026-08-21,false,true,1.2-pilot,true,arxiv_id=2508.02866;seed_role=core-security
skillopt-2026,arxiv,core-preprint,true,id_list,2026-08-21,false,false,1.2-pilot,true,arxiv_id=2605.23904;seed_role=contextual
mcp-tdp-2026,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2605.24069;seed_role=core-security
delegated-observability-2026,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2606.09692;seed_role=core-security
evidence-provenance-survey-2026,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2606.04990;seed_role=core-security
agentic-investigations-2026,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2604.05589;seed_role=core-security
sentinelagent-2026,arxiv,core-preprint,true,id_list,2026-08-21,true,true,1.2-pilot,true,arxiv_id=2604.02767;seed_role=core-security
